Company,Product,Version,Date,Filename,SourceRepo,RelPath,SizeBytes,Hash,ExactDupCount,FuzzyDupCount
ChatWise,official-product,,,chatwise_research.md,chatgpt_system_prompt,prompts/official-product/chatwise/chatwise_research.md,3519,862effeb9ea783d9,0,0
Clawdbot,IDENTITY,,,IDENTITY.md,TheBigPromptLibrary,Clawdbot/IDENTITY.md,3404,6395204134a8f34b,1,0
Clawdbot,SOUL,,,SOUL.md,TheBigPromptLibrary,Clawdbot/SOUL.md,2724,75a64e50e92a33f1,1,0
Clawdbot,AGENTS,,,AGENTS.md,TheBigPromptLibrary,Clawdbot/AGENTS.md,2730,4c9bb672eff72d7e,1,0
Cline,system,,,system.ts,TheBigPromptLibrary,Cline/system.ts,62929,4ec31c442cb4d089,1,0
Cluely,Cluely,,,Cluely.mkd,CL4R1T4S,CLUELY/Cluely.mkd,4759,ae4ae260598c3627,1,0
Cluely,Enterprise Prompt,,,Enterprise Prompt.txt,TheBigPromptLibrary,Cluely/Enterprise Prompt.txt,21254,ac60e8bbb2e5b67c,1,1
CodeBuddy,Craft Prompt,,,Craft Prompt.txt,TheBigPromptLibrary,CodeBuddy Prompts/Craft Prompt.txt,39940,ad4204748089a764,1,0
CodeBuddy,Chat Prompt,,,Chat Prompt.txt,TheBigPromptLibrary,CodeBuddy Prompts/Chat Prompt.txt,1521,8cb95d680cf8176e,1,0
Cursor,Cursor_2.0_Sys_Prompt,2.0,,Cursor_2.0_Sys_Prompt.txt,CL4R1T4S,CURSOR/Cursor_2.0_Sys_Prompt.txt,23082,c34426e7f7d8f4e9,1,0
Cursor,Cursor_Tools,,,Cursor_Tools.md,CL4R1T4S,CURSOR/Cursor_Tools.md,7198,347add647a589914,1,0
Cursor,Cursor.com,,20240904,20240904-Cursor.md,TheBigPromptLibrary,SystemPrompts/Cursor.com/20240904-Cursor.md,1475,da57161aa20d971b,0,0
Cursor,Agent,,,Agent.md,TheBigPromptLibrary,Cursor/Agent.md,32188,b070de9206d27d6a,3,0
Cursor,Agent Prompt 2025-09-03,,,Agent Prompt 2025-09-03.txt,TheBigPromptLibrary,Cursor Prompts/Agent Prompt 2025-09-03.txt,19008,9f040e8100f1ea90,1,0
Cursor,Chat Prompt,,,Chat Prompt.txt,TheBigPromptLibrary,Cursor Prompts/Chat Prompt.txt,12569,bf238e70a25cf2cc,1,0
Cursor,Agent CLI Prompt 2025-08-07,,,Agent CLI Prompt 2025-08-07.txt,TheBigPromptLibrary,Cursor Prompts/Agent CLI Prompt 2025-08-07.txt,14045,65cf6c1ec06b69bc,2,0
Cursor,Agent Prompt v1.0,v1.0,,Agent Prompt v1.0.txt,TheBigPromptLibrary,Cursor Prompts/Agent Prompt v1.0.txt,9023,fe523651e19a0e5d,1,0
Cursor,Agent Prompt 2.0,2.0,,Agent Prompt 2.0.txt,TheBigPromptLibrary,Cursor Prompts/Agent Prompt 2.0.txt,38842,86fb2b4953a93bc9,1,0
Cursor,official-product,,,CursorAgileModeSystemPrompt.md,chatgpt_system_prompt,prompts/official-product/cursor/CursorAgileModeSystemPrompt.md,6804,979e953be8fe0504,0,0
Cursor,official-product,,,CursorMemoryEvaluate.md,chatgpt_system_prompt,prompts/official-product/cursor/CursorMemoryEvaluate.md,5274,1c1d102fe1241ca2,0,0
Cursor,official-product,,,CursorChatSystemPrompt.md,chatgpt_system_prompt,prompts/official-product/cursor/CursorChatSystemPrompt.md,1936,5d5ce029bf579ea2,0,0
Cursor,official-product,,,CursorAgentModeSystemPrompt-updated.md,chatgpt_system_prompt,prompts/official-product/cursor/CursorAgentModeSystemPrompt-updated.md,18460,d938022a78055837,0,0
Cursor,official-product,,,CursorMemoryGen.md,chatgpt_system_prompt,prompts/official-product/cursor/CursorMemoryGen.md,7147,c0aa88ae81756a45,0,0
Cursor,official-product,,,CursorComposerSystemPrompt.md,chatgpt_system_prompt,prompts/official-product/cursor/CursorComposerSystemPrompt.md,3028,f729df8a62df881a,0,0
DIA,Dia_CodingSkill,,,Dia_CodingSkill.txt,CL4R1T4S,DIA/Dia_CodingSkill.txt,21178,e101b1fe8175e8bd,1,0
DIA,Dia_DraftSkill,,,Dia_DraftSkill.txt,CL4R1T4S,DIA/Dia_DraftSkill.txt,8922,02be0e638ab3baca,1,0
DIA,Prompt,,,Prompt.txt,TheBigPromptLibrary,DIA/Prompt.txt,17166,583631d6464ff311,1,0
Databricks,Databricks,,03272024,DBRX Instruct_03272024.md,TheBigPromptLibrary,SystemPrompts/Databricks/DBRX Instruct_03272024.md,5111,73e53dbd1ea2fe93,0,0
DeepSeek,DeepSeek,,20251029,20251029-DeepSeek-V2.md,TheBigPromptLibrary,SystemPrompts/DeepSeek/20251029-DeepSeek-V2.md,3575,ed8d070a5ff97eec,0,0
DeepSeek,official-product,,,R1.md,chatgpt_system_prompt,prompts/official-product/deepseek/R1.md,1368,ebb5d2a6a70e0ddc,0,0
Devin,Devin_2.0,2.0,,Devin_2.0.md,CL4R1T4S,DEVIN/Devin_2.0.md,6056,e146855fcc48c0dc,2,0
Devin,Devin_2.0_Commands,2.0,,Devin_2.0_Commands.md,CL4R1T4S,DEVIN/Devin_2.0_Commands.md,29589,23823e5e0d451148,2,0
